room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
67025,211108,Entire home/apt,Westminster,Knightsbridge and Belgravia,33,5.0,5,1.0,299.0,2,51.495998,-0.154224,2015-01-18 10:45:13.050
67512,333087,Private room,Ealing,Acton Central,0,,2,1.0,140.0,1,51.512731,-0.272516,2015-01-18 08:55:29.883
67851,235606,Entire home/apt,Hackney,London Fields,6,5.0,2,1.0,127.0,7,51.541547,-0.05838,2015-01-17 20:49:48.605
67934,335716,Private room,Barnet,Burnt Oak,7,5.0,1,1.0,43.0,5,51.60202,-0.261386,2015-01-18 02:45:16.391
68996,344090,Private room,Tower Hamlets,Spitalfields & Banglatown,0,,1,1.0,92.0,3,51.516822,-0.076167,2015-01-18 05:22:03.386
71614,11334,Entire home/apt,Islington,Mildmay,6,5.0,2,1.0,168.0,1,51.552966,-0.088766,2015-01-18 09:19:22.439
71875,67564,Entire home/apt,Camden,Bloomsbury,14,5.0,3,1.0,277.0,3,51.522788,-0.139186,2015-01-18 09:42:07.581
71888,168259,Private room,Newham,Forest Gate North,15,4.0,1,1.0,67.0,2,51.553322,0.009776,2015-01-18 10:41:36.286
71969,370404,Private room,Camden,Camden Town with Primrose Hill,79,5.0,1,1.0,84.0,1,51.538341,-0.142586,2015-01-17 22:25:38.362
71983,17577,Entire home/apt,Wandsworth,Queenstown,12,5.0,2,1.0,187.0,2,51.474354,-0.154399,2015-01-17 23:23:42.811
72059,371121,Private room,Haringey,Alexandra,10,5.0,4,1.0,150.0,2,51.594777,-0.141416,2015-01-18 04:45:11.025
72802,157191,Entire home/apt,Southwark,Riverside,56,4.5,6,2.0,337.0,2,51.501497,-0.075887,2015-01-18 03:02:05.444
72913,379315,Private room,Lambeth,Oval,82,5.0,2,1.0,75.0,2,51.480644,-0.114387,2015-01-18 10:45:34.208
73431,383525,Private room,Lambeth,Coldharbour,18,5.0,2,1.0,90.0,2,51.461929,-0.110853,2015-01-18 11:10:55.314
73439,169150,Entire home/apt,Westminster,West End,142,4.0,3,1.0,150.0,2,51.513948,-0.130473,2015-01-18 11:44:44.491
73884,216660,Entire home/apt,Hammersmith and Fulham,Hammersmith Broadway,17,4.5,2,1.0,116.0,1,51.493845,-0.227892,2015-01-18 07:02:57.809
73930,387264,Entire home/apt,Islington,St. Peter's,11,4.5,4,1.0,241.0,3,51.533973,-0.09913,2015-01-18 10:13:17.505
74000,387870,Entire home/apt,Islington,St. George's,2,4.5,2,1.0,187.0,1,51.555184,-0.133105,2015-01-17 21:11:19.261
74732,345130,Entire home/apt,Kensington and Chelsea,Campden,18,4.5,2,1.0,215.0,2,51.502372,-0.187701,2015-01-18 12:43:31.242
75120,183658,Entire home/apt,Kensington and Chelsea,Abingdon,31,5.0,12,4.0,655.0,3,51.495637,-0.202176,2015-01-18 04:00:26.800
75995,404548,Entire home/apt,Tower Hamlets,Weavers,14,5.0,4,1.0,131.0,2,51.530245,-0.073615,2015-01-18 11:28:37.198
76440,407951,Private room,Newham,Forest Gate South,86,5.0,2,1.0,75.0,2,51.543673,0.010512,2015-01-18 06:46:14.616
76623,110865,Entire home/apt,Islington,St. Mary's,20,4.5,5,1.0,272.0,3,51.542502,-0.102108,2015-01-18 01:41:18.159
76932,196620,Entire home/apt,Westminster,Little Venice,12,5.0,3,2.0,374.0,3,51.526319,-0.184921,2015-01-18 05:22:27.730
78332,420668,Private room,Brent,Brondesbury Park,5,4.5,2,1.0,75.0,1,51.536877,-0.224466,2015-01-18 13:55:53.490
78415,421104,Private room,Croydon,Upper Norwood,13,5.0,1,1.0,39.0,3,51.409979,-0.113271,2015-01-18 01:41:24.789
78523,421909,Private room,Westminster,Lancaster Gate,35,4.5,2,1.0,101.0,8,51.513742,-0.179367,2015-01-18 09:08:20.134
79075,421104,Private room,Croydon,Upper Norwood,12,4.5,2,1.0,45.0,3,51.410735,-0.113298,2015-01-18 12:01:39.235
79111,425778,Entire home/apt,Hackney,Hoxton East & Shoreditch,132,4.5,2,1.0,185.0,1,51.533248,-0.080525,2015-01-17 20:31:58.317
79129,425764,Private room,Merton,Cannon Hill,29,5.0,2,1.0,75.0,1,51.397107,-0.213417,2015-01-17 21:49:26.198
79216,426378,Private room,Lewisham,Catford South,0,,2,1.0,94.0,3,51.438277,-0.019752,2015-01-18 04:00:43.262
79455,427855,Entire home/apt,Greenwich,Peninsula,8,4.5,2,1.0,178.0,3,51.485363,0.007818,2015-01-18 02:50:52.582
79554,428469,Private room,Kingston upon Thames,Norbiton,15,5.0,1,1.0,65.0,1,51.409977,-0.284466,2015-01-18 09:37:22.195
